,Country,Site,Transect,Rugosity,hcprod_mean,gnet,br_acro,tab_acro,br_por,poc,oth_br,mass_por,mass_oth,enc_por,enc_other,fol,mush,oth,cca_cover,sed_cover,soft_cover,mac_cover,turf_cover,rub_cover,rock_cover,lpave_cover,sand_cover,tot.bare.substrate,other_cover,numb_gen,tot_mass,tot_enc,tot_branch,tot_other,tot_cover,stress,general,weedy,comp,tgnet,v_accret,dist_port,prod_branchinf,prod_mass,prod_enc,prod_oth
41,Singapore,TPT,4,2.662,6.947948493,3.549756206,0,0,0,0,13.89625142,0,7.269973495,0,1.249526694,7.23210905,0,11.81370693,5.552918842,0,0,16.23160892,29.28334124,0,0,0,1.898433792,1.898433792,11.62790698,9,7.269973495,1.249526694,13.89625142,19.04581598,41.46156759,10.63990913,28.96630065,1.855357819,0,1.866523062,2.975792187,7.71,1.6478959,2.0745946,0.09150402,6.94794849
42,Singapore,TPT,5,2.131,5.535099698,2.61070003,0,0,0,0,0,0,12.64822134,0,8.992094862,0,0,11.11660079,2.110712863,0,0,3.663878933,33.89088013,6.252489048,0,0,13.30147352,19.55396256,0.915969733,7,12.64822134,8.992094862,0,11.11660079,32.75691699,22.82608695,7.658102765,2.272727272,0,1.709594509,1.385009967,7.71,0,3.27146578,0.39941731,5.5350997
43,Singapore,TPT,6,1.863,2.805200502,1.155132647,0,0,0,0,0,0,5.689747719,0,4.401502952,0,0,17.28395062,1.911037891,0,0,5.041186161,41.25205931,3.459637562,0,0,1.779242175,5.238879736,5.831960461,5,5.689747719,4.401502952,0,17.28395062,27.37520129,6.494900699,16.96188943,3.918411165,0,1.403926155,1.1867368,7.71,0,1.13099418,0.14970595,2.8052005
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.68,,0,0.04690281,0.00698106,6.40708669
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.71,,0,0.62740607,0.06159202,3.1956656
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1.05,,1.27267705,0,1.44845425,4.01356343
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.64,,0,0.67539453,0.24432085,0.91971539
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.45,,0,2.10886426,0.60476168,4.11417698
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.58,,0,0.83706252,0.41394444,4.04784291
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.42,,0,0.62573149,0.32685968,5.4282495
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.83,,0.04666039,0.81289378,0.56450381,3.93118565
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.55,,0.73178827,2.07844058,0.28782251,9.7281173
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.52,,0,0,1.35109547,1.92555007
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.54,,0.31362355,0.10240427,0.11961585,1.2205122
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.43,,0,0,0.43383842,2.38260904
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.74,,0,2.25555317,0.42604599,5.79454259
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.46,,0,0.46076447,0.34278699,2.99901544
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.51,,0,2.52317661,1.13996138,4.85158637
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.46,,0.51320216,1.93520125,0.41646645,3.51225648
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.73,,0,1.58444557,0.2121134,4.66642464
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.46,,0,0,0.18238177,2.43419164
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.43,,0.10658284,0.58092159,0.73450886,1.42201329
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.61,,0.20649878,2.18954283,0.52987947,3.69536954
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.55,,0,1.73236724,0.72085,4.80125271
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.7,,1.6478959,2.0745946,0.09150402,6.94794849
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.56,,0.37268766,1.09297155,0.5715256,3.19371485
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1.02,,0,1.1758568,1.72606295,7.11263358
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.4,,0,0,0.10238116,0.2377924
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.46,,0.07633305,1.74672132,0.36642842,2.89127563
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.53,,0,0,0.64472826,2.20913349
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.56,,0,0.85422024,0.01111559,4.11247236
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.64,,0,3.27146578,0.39941731,5.5350997
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.42,,0,0.39638123,0.7257536,3.08162642
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.61,,0,0.77803508,1.02613885,5.36715641
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.31,,0,0,0.29867116,0.41957023
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.47,,0,0.13321165,0.16046775,5.06715793
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.52,,0,0.453178,0.66877336,1.92971853
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.45,,0.64070655,1.10080645,0.00904832,4.58236983
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.3,,0,1.13099418,0.14970595,2.8052005
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.59,,0,1.06886699,0.42793465,2.00567628
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.82,,0.12572503,3.36021061,0.6619325,5.85727555
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.33,,0,0.34306053,0.15232913,0.55761448
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.58,,2.73213775,0.51637384,0,3.71581911
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.46,,0.33676347,0.55396725,0.05862592,1.59360209
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.48,,0,1.4805877,0.177013,3.46911212
